Avaliações
"Visitei o restaurante pela primeira vez com a minha família e devo dizer que recomendo a 100%. O atendimento é excelente, a comida é melhor ainda, no meu caso que levei uma pessoa de idade que adorou o frango, todo o ambiente é casual e familiar, as sobremesas são super caseiras e recomendo o cheesecake e o leite creme. É ótimo para um ambiente com amigos, de facto um restaurante para voltar."
"Frango top, excelente molho bom ambiente. Local a visitar em beja. Boa relacao qualidafe preco. Recomendo"
"tudo excelente. óptima comida ( uma picanha tenrinha)e óptimo serviço( toda a equipa muito atenciosa). recomenda-se."
"Primeiro: o nome engana. Depois, o que interessa: excelentes entradas, um arroz à bulhão pato fantástico e umas entradas inesquecíveis. Ponto de paragem recomendado para quem sai de Lisboa para o sotavento algarvio. Vale a pena o desvio."
"Comida muito boa e staff muito simpático! A repetir, sem dúvida. Éramos um grupo grande e o serviço foi impecável. Vinho 5 estrelas."
"Um ótimo espaço para jantar com a família ótima comida um exelente atendimento, está de parabéns o sr. José um empregado super humilde e muito atencioso que nos deu uma ótima sugestão do que comer"
"Excelente espaço, carta variada não ha só frango como se pensa pelo nome. Atendimento e comida excepcional. Recomendo vivamente"
"Muito bom!! Limpeza Simpática dos funcionários Estacionamento Boa comida Rapidez Preço- barato Adoreiiiiii"
"Gastronomia de qualidade. Ótimo serviço de atendimento, profissionalismo de topo, boa localização e instalações confortáveis."
"Ementa muito variada(e que inclui comida típica Alentejana). Muita qualidade na comida e excelente apresentação... A simpatia de todo o Staff é de parabenizar...! Extraordinário! Sem dúvida a repetir! Ah e adoramos a decoração do espaço...muito bom gosto!"
"Vim em jantar de família, muito boa comida, atendimento excelente, muito simpáticos, recomendo vivamente!!"
"Desde as entradas,ao franguinho  Sobremesas caseiras do melhor que há. Simpatia dos funcionários"
"Mesa pronta, atendimento rápido e de qualidade, comida ótima, apresentação excelente. Obrigada e até à próxima!"
"Nada melhor para acabar a refeição.... Esta foto é o espelho do excelente serviço... Recomendo vivamente!! Atendimento 5 estrelas"
"Passamos em Beja e calhou de entrarmos. Bom serviço e boa comida a preço justo. Nao desilude. Aconselho"
"Muito bom ambiente, belíssimo serviço e grande qualidade nos pratos pedidos. Recomendamos vivamente."
"Espaço muito agradável, bom serviço e simpatia! Tem um ótimo choco frito à setubalense, que é sem dúvida um prato de eleição! Adequado para jantares mais calmos ou jantares com amigos. Preço acessível e ótima relação qualidade/preço. Recomendo!"
"Experiência única, excelente atendimento e simpatia. Confecção e qualidade. Sabores incríveis, experiências únicas. Recomendo"
"Costumo encomendar frequentemente neste restaurante, contudo hoje, após ter encomendado presa com camarão tigre, fiquei bastante dececionada, como poderão visualizar na imagem. Um camarão que de tigre nada tem, e a nível de sabor e confecção deixou muito a desejar."
"Local com uma decoração fantástica. Ementa com pratos variados (frango assado, carnes de porco preto, vitela, etc.) e com sabores excelentes. Tem igualmente uma ótima carta de vinhos. Staff atencioso. Serviço rápido. Recomendo!"
"Bom restaurante... Simpatia e qualidade de refeição Parabéns. Visitei em Beja e foi muito bom. Vou voltar com certeza."
"Muito bom, com umas entradas muito boas, acompanhado com uma excelente sangria, comida muito bem confecionada,e com a simpatia dos funcionários. Recomendo."
"Excelente. Gastronomia de qualidade. Ótimo serviço de atendimento, profissionalismo de topo, boa localização e instalações confortáveis."
"Lugar excelente, comida muito boa. Ótimo atendimento!!! Local muito lindo e aconchegante. Recomendo!"
"Fui a frango a guia . Adorei a culinária . Os serviço de mesa . Tudo fantástico parabém a todo equipe"
"Serviço de excelência. Decoração irrepreensível. Pratos variados e diferenciados. O frango à Guia é delicioso. Atendimento competente e atencioso."
"Experiência maravilhosa. Todo o staff é muito simpático e prestável A comida é simplesmente divinal. Irei voltar sem qualquer dúvida"
"Recomendo plenamente este restaurante, pelo espaço acolhedor e humilde que transmite pela toda a simpatia ao redor. Um espaço familiar, com muito boa comida e bom vinho. Recomendo vivamente o restaurante 'Frango à Guia'."
"Serviço excelente tal como a comida que nos foi servida. Queria também sublinhar a simpatia dos empregados. Restaurante para repetir mais vezes!"
"O nome pode enganar. Eu nunca comi frango, porque não como carne, e mesmo assim tenho à escolha um variado e saboroso menu de peixes a vegetais, bem como boa carta de vinhos. Espaço com decoração cuidada, equipa delicada e dedicada, e todas as regras Boa tarde caro Bruno, Agradecemos desde já a sua visita e as suas palavras relativamente ao espaço, à comida e ao serviço. Obrigado pelas sua recomendação. Ficamos a aguardar nova visita em breve :) Cumprimentos."
"Óptima escolha onde tudo é agradável ... staff impecável , location espetacular obrigatório parar para passar um bom bocadinho de tempo"
"Fui a este restaurante em Julho de 2021 para almoçar com família. Excelente atendimento, o espaço é muito bonito e bem decorado, mas mantém uma preocupação notória com as condições de saúde e segurança dos clientes, pois as mesas apresentam-se bem distanciadas e com acrílicos Boa tarde cara(o) dfsantos2, Agradecemos desde já a sua visita e as suas palavras. A forma como descreveu a sua experiência gastronómica deixa-nos preenchidos e tremendamente satisfeitos. Muito obrigado pela recomendação Até breve. Cumprimentos."
"Durante a nossa visita, fomos extremamente bem tratados. Um atendimento excepcional, a refeição tal como o vinho que nos ajudaram a escolher, tudo excelente...uma atmosfera ideal. Comparação refeição, preço muito justa, aconselhamos a qualquer pessoa que aprecia uma boa refeição e atendimento top assim como Boa tarde cara(o) zt4jiggy, Agradecemos desde já a sua visita e as suas palavras, e a forma como descreveu a sua experiência gastronómica. Gratos pela recomendação Até breve. Cumprimentos."
"Comemos muitíssimo bem. Das as entradas às sobremesas, o empratamento é muito bom. Os empregados são atenciosos e muito simpáticos. Gostei, e vou voltar!"
"Sem palavras, demasiado incrível toda a experiência! Desde uma ótima qualidade a um impressionante atendimento"
"A comida, o tempero, o sabor, o aroma são amazing, os atendimentos são incríveis, super simpáticos e carismático. Recomendo a todos que tem um paladar excepcional, para degustarem essa maravilha."
"Um restaurante fantástico, que aconselho com uma fantastica e variada cozinha, um otimo serviço,adorei as entradas a apresentação dos pratos mas sobretudo o sabor e simpatia com que gui recebido."
"Atendimento fantástico, a comida com uma qualidade de excelência, o espaço é super acolhedor, e com todas as medidas de segurança."
"Serviço excelente, pratos típicos e variados, mas com requinte, servidos num espaço agradável, no nosso caso, explanada fechada, com todas as medidas de segurança. Atendimento excelente. Recomendo vivamente"
"Comida muito bem confeccionada, tanto grelhados como comida de tacho, e um serviço muito eficaz! Keep Going!"
"Muito bom! Grande restaurante na cidade Beja! Contempla diversos pratos típicos da região assim como outros! 5 estrelas"
"Durante muito tempo frequentei este estabelecimento mas a qualidade tem caído a pico. estão sempre com falta de pessoal a servir. a carne de porco ou vem queimada ou crua. as batatas fritas muito gordurosas e moles,  e a cozinha é muito lenta. até com Boa tarde caro Luís. Lamentamos que a sua experiência no nosso restaurante não tenha ido ao encontro do pretendido, entretanto permita-nos que se refira, após falar com a equipa, que se concluiu que nunca partilhou com o staff a sua insatisfação ou qualquer referência negativa Restaurante com um atendimento muito simpático e rápido. Uma sala bem decorada, muito limpa e confortável para famílias, incluindo bebés. Em relação às regras da Covid 19 o espaço respeita as normas e adoptou estratégias inteligentes para evitar contágios. A comida é óptima e com Boa tarde cara(o) Qfhjdgk, Agradecemos desde já a sua visita e as suas palavras relativamente ao espaço, à comida e ao serviço. Obrigado pelas sua recomendação. Até breve. Cumprimentos."
"Atendimento demorado e há pressa sem qualquer cuidado com o cliente, batatas fritas que parecem restos do almoço, almoço muito negativo"
"Espaço bastante acolhedor, comida espetacular e atendimento muito simpático. Recomendo vivamente a quem passar por Beja"
"Uma agradável surpresa na cidade de Beja! Comida fantástica, staff atencioso (principalmente com as crianças), educado e disponível! Destaco as medidas de proteção no âmbito da Covid-19, separadores entre mesas, desinfetante e talheres em bolsas individuais. Todos os colaboradores com máscara e cumprindo as regras Boa tarde caro(a) VVRG, Agradecemos desde já a sua visita e a forma como descreveu a sua experiência gastronómica. Obrigado pelas suas palavras. Cumprimentos."
"Em visita a este restaurante estivemos hora e meia à espera da comida não bastando na sobremesa o empregado foi buscar as colheres a duas mesas que já tinham passado pelas mãos de outras pessoas o que é uma falha muito grande e falta de Boa tarde caro Ilidio F, Agradecemos desde já a sua visita e lamentamos o que refere na medida que o Frango à Guia em Beja incutiu nos seus princípios e regras basilares o cumprimento rigoroso de todos procedimentos de higiene e segurança, em prol do Experimentamos sopa, entradas, carnes grelhadas, vinho e sobremesas. Foi tudo muito bom. O atendimento também esteve muito bem. Recomendo Boa tarde caro Luís Rosário, Agradecemos desde já a sua visita e a forma como descreveu a sua experiência gastronómica. Obrigado pela sua recomendação. Cumprimentos."
"Infelizmente, um problema enorme com a equipe, serviço ruim muito lento, equipe não treinada ou não tem nenhuma ideia sobre o serviço, tivemos a sorte de chegar cedo e só tivemos que pedir ao garçom 5 vezes para itens esquecidos, uma vez que incluía um jantar que foi deixado no bar ! Pelo menos 3 grupos de pessoas à esquerda enquanto estávamos lá cumprindo ferozmente com o garçom. A vergonha como a comida era um 7/10."
