,Avaliações
12,"Adorei tudo. Muitas boas condições e comodidades. Muito sossegado, calmo. Óptimo para descansar. O quarto com o colchão no chão é maravilhosa, uma experiência diferente mas muito boa. Excelente pequeno almoço 
"
13,"Nada a apontar!
"
14,"Adorámos a localização, a decoração, a simpatia, o pequeno almoço - tudo impecável!

"
15,"Limpeza do quarto e espaços sociais
A beleza da piscina e de toda a casa 
O pequeno almoço !!! Perfeito !
A simpatia e hospitalidade da Sara! 
"
16,"Nada a apontar 
"
17,"Muito bom! Super relaxante! Um dos melhores alojamentos que já estive em Portugal. O pequeno almoço é exceptional!
"
18,"As cadeiras da piscina não muito confortáveis.
"
19,"Pequeno almoço excecional, tudo com produtos sustentáveis e deliciosos; Sem dúvida um local para quem gosta de tranquilidade e muito calor. Camas do quarto extremamente confortáveis.
"
20,"Os pombos acabam por sujar a piscina, apesar da equipa do Aljana limpar várias vezes ao longo do dia. O cloro não passa, por isso, despercebido. 
"
21,"Simpatia, bom gosto e profissionalismo. A equipa, em especial a anfitriã Sara Barbosa Alves, é incansável e muito amável. O espaço está muito bem decorado e espelha o sentido estético de quem idealizou o projecto. Há livros e boa música, vinho à disposição num honesty bar, e uma evidente atenção aos pormenores. O quarto e a zona exterior reflectem o mesmo cuidado e conforto. O pequeno-almoço é maravilhoso, com produtos locais. Estivemos uma semana a saborear todo este ambiente, que ficará, com certeza, na nossa memória. 
"
22,"Gostamos bastante do alojamento, por transmitir, em todos os seus detalhes, calma e tranquilidade. 
O alojamento fica numa rua calma, o que proporciona momentos de descontração sem barulho dos carros.
O pequeno almoço era recheado de coisas boas.
É um sítio onde iremos voltar!!
"
23,"Não houve nada que não tivéssemos gostado mas há sempre espaço para melhorias. Poderia ter uma pequena secretária e extração no WC.
"
24,"Da calma que a casa transmite. A decoração é impecável. O jardim é um sonho!
"
25,"Localização excelente, ao lado da Sé de Beja. Espaços interiores e exteriores super bem decorados. 
Muito tranquilo à noite e com um pátio muito agradável para noites quentes de verão. O Aljana no inverno também deve ser muito agradável (há salamandras nas salas).
O staff é todo 5estrelas e a Sara (dona do Aljana) é uma excelente anfitriã. E tem tudo pensado ao detalhe. Por exemplo no dia em que chegámos a Sara já não estava no Aljana para o check-in mas deixou tudo preparado e tínhamos uma limonada de morango deliciosa e bolo caseiro à nossa espera.
Ah, e o pequeno-almoço...ai o pequeno-almoço...que maravilha! Tudo local, comida com sabor, queijos óptimos, frutas óptimas, mini panquecas, croissants, pão, doces caseiros...ovos mexidos excelentes e o melhor bacon que comi nos últimos 20 e tal anos. E incrivelmente bem servido (éramos um casal mas o pequeno-almoço dava tranquilamente para 3 pessoas).
"
26,"Nada a apontar.
"
27,"De tudo.
Staff.
Acomodações, melhor que muitos hotéis de 4 e 5 estrelas.
Pequeno almoço simplesmente fantástico.
Uma estadia a repetir.

"
28,"Tudo na casa era perfeito, nada a apontar!
Boa escapadela das grandes cidades para um bom descanso 👍 
a repetir decerteza
"
29,"Espaço, pequeno almoço.
"
30,"Local óptimo em pleno centro de Beja. 
Dos melhores pequenos almoços que já experimentamos.
Staff simpático e atencioso 
A repetir 
"
31,"O pouco espaço no andar de baixo da mezanine (falta um espaço confortável para se estar). As escadas e o último degrau um pouco frágeis. Penso que os outros quartos devam ser melhores.
"
32,"O pequeno-almoço servido é de excelente qualidade (pão muito bom, mini panquecas deliciosas, compotas excelentes, fruta variada, sumo de fruta acabado de fazer, queijo fresco muito bom e ovos mexidos fantásticos). Variedade de produtos e de qualidade acima da média. Boa piscina (pequena, mas num espaço confortável).  Pátios interiores e espaço interior muito agradáveis para dias e noites de calor. À chegada o cuidado em mimar os hóspedes com uma limonada fresca.
"
